price_cr,bhk,bathroom,balcony,addl_room,floor_rise,area_sqm,area_type,age,society,locality,furnishDetails,nearby_loc
0.45,2,2,1,0,mid,83.61,carpet,new,maa bhagwati residency,krishna colony,"['3 fan', '4 light', '1 wardrobe', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['chintapurni mandir', 'state bank atm', 'pearl dental clinic', 'taneja hospital', 'dr. ashok jain', 'dr. madan clinic', 'geeta nursing home gurgaon', 'chiranjiv hospital', 'dev man kathuria clinic', 'aryan hospital', 'kr dental hub', 'swastik maternity and medical centre', 'satyam hospital gurgaon', 'ravi clinic and health care centre', 'd.r. rajnis gupta clinic', 'esic hospital gurugram', 'gurgaon eye centre', 'bindal clinic', 'shiv mahima patient care bureau', 'shree krishna hospital gurgaon', 'm.s hospital', 'my care clinic', 'ankur clinic and maternity home', 'triveni hospital gurgaon', 'shri gobind hospital', 'navjeevan hospital and maternity centre', 'lal superspeciality hospital', 'sparsh hospital gurgaon', 'prateek nursing home and polyclinic', 'jain sant phool chand ji charitable hospital', 'sarvodya hospital', 'bhatnagar maternity and nursing home', 'tirath ram hospitals pvt ltd', 'dr. sarvejeet singh', 'centre for sight gurgaon new railway road', 'dr. ajay s. gupta clinic', 'kidney clinic', 'mangalam hospital and heart centre gurgaon', 'sethi hospital gurgaon', 'shubham hospital gurgaon', 'kharbanda maternity and nursing home', 'gupta hospital gurgaon', 'dentecare - multispeciality dental clinic', 'state bank of india', 'hdfc bank', 'kotak bank', 'indian bank', 'pizza hut', 'st. michaels sr. sec. school', 'dronacharya government college']"
0.5,2,2,1,0,low,60.39,carpet,old,apna enclave,ashok vihar,"['3 wardrobe', '4 fan', '1 exhaust fan', '1 geyser', '3 light', '1 curtains', '1 chimney', '1 modular kitchen', 'no ac', 'no bed', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['chintapurni mandir', 'sheetla mata mandir', 'state bank atm', 'sneh hospital gurgaon', 'jiya clinic', 'dr. mittal clinic', 's child care clinic"", ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ']"
0.4,2,2,3,0,high,55.28,carpet,new,tulsiani easy in homes,sohna,,"['huda city metro', 'golf course extn road', 'rajiv chowk', 'igi airport', 'imt sohna', 'damdama lake']"
1.47,2,2,2,1,low,111.48,carpet,mid aged,smart world orchard,sector 61 gurgaon,,"['sector 55-56 metro station', 'bestech central square mall', 'golf course ext road', 'badshahpur sohna rd hwy', 'orchids the international school', 'sushant university', 'marengo asia hospitals', 'indira gandhi intl airport', 'gurgaon railway station']"
0.7,2,2,3,1,mid,124.95,super built up,under construction,parkwood westend,sector 92 gurgaon,[],"['yadav clinic', 'bangali clinic', 'dr. j. s. sarkar clinic', 'sagar clinic', 'orris community center', 'vijay petrol pump', 'hp petrol pump', 'essar petrol pump', 'indian oil', 'pizza hut', 'kfc']"
2.0,3,3,3,0,mid,139.35,super built up,new,the cocoon,dwarka expressway gurgaon,[],"['shri multispeciality hospital', 'esic hospital gurugram', 'shree krishna hospital gurgaon', 'dr. hitesh dawar', 'prateek nursing home and polyclinic', 'kr dental hub', 'basai dhankot railway station']"
1.8,3,4,3,0,high,212.75,carpet,new,ats triumph,sector 104 gurgaon,[],"['iffco chowk metro station', 'the esplanade mall', 'dhanwapur road', 'dwarka expressway', 'govt. pg college', 'delhi public school', 'the northcap university', 'shree krishna hospital', 'indira gandhi international airport', 'basai dhankot', 'the executive centre', 'park inn', 's water park"", ']"
1.1,2,4,3,1,low,125.42,built up,under construction,vatika xpressions,sector 88b gurgaon,,"['dwarka expressway', 'adarsh public school,garhi harsaru', 'excellere world school', 'phc garhi harsaru', 'aman hospital & surgical centre', 'garhi harsaru junction', 'neemrana palace']"
4.75,3,3,2,1,high,261.34,built up,mid aged,raheja revanta,sector 78 gurgaon,,"['sapphire 83 mall', 'nh-8', 'bal bharti public school', 'kiit college of engineering', 'miracles apollo cradle', 'indira gandhi international airport', 'imt manesar', 'savoy suites, manesar', 'de adventure park', 'manesar golf course']"
0.96,2,2,2,0,low,99.87,carpet,mid aged,signature global city 81,sector 81 gurgaon,,"['ambience mall new', 'dwarka expressway', 'nh8', 's high school"", ', ', ', ', ']"
0.29,2,2,1,0,mid,48.22,carpet,new,hcbs sports ville,sohna,,"['the roadside cafe', 'gd goenka mess', 'royal kitchen', 'mithaas wala', 'momomia gurgoan']"
1.35,3,3,3,0,mid,180.7,carpet,new,supertech araville,sector 79 gurgaon,"['1 water purifier', '2 fan', '1 geyser', '3 light', '2 ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine']","['petrol pump indian oil', 'petrol pump', 'rao dhaba']"
0.7,2,2,3,1,high,120.77,super built up,new,shree vardhman flora,sector 90 gurgaon,,"['iris broadway mall', 'dwarka expressway', 'saraswati model school', 'sgt university', 'aarvy healthcare hospital', 'indira gandhi international airport', 'garhi harsaru junction', 'orchid business park', 'holiday inn gurugram sector 90', 'flying wings badminton academy']"
3.95,4,5,3,0,high,217.67,built up,under construction,sobha city,sector 108 gurgaon,"['1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['dwarka sector 21', 'dwarka expressway', 'vasant kunj', 'the shikshiyan school', 'the northcap university', 'rions hospital', 'igi airport', 'gurgaon', 'wtc plaza', 'luxus haritma resort', 'fun n food waterpark', 'bsf golf course', 'nehru stadium']"
0.9,1,1,0,0,low,59.37,built up,under construction,senate court,sector 62 gurgaon,,"['radhakrishna shani mandir', 'sanatan dharm mandir', 'standard chartered atm', 'icici bank atm', 'state bank atm', 'vatsalya clinic', 'anand hospital gurgaon', 'pracksht hospital', 'kriti hospital', 'bones clinic - orthopaedics', 'meher clinic', 'surgicare hospital gurgaon', 'skin clinic', 'divine look clinic centre', 'dr. naresh pandita', 'dr. anuj sharma', 'vishesh dental', 'neelkanth health care', 'park hospital gurgaon', 'dr. aruna kalra', 'wellness eye centre', 'best urologist atcomplete family clinic', 'wembley estate club', 'huda office complex', 'medisca', 'genius', 'gardian pharmacy', 'apollo pharmacy', 'spaze business park', 'unitech', 'hdfc bank', 'hdfc bank and atm', 'hdfc bank', 'hdfc bank', 'indusind bank', '222', 'madison and pike', 'pizza hut', 'india', 'haldiram', 'kamla international', 'gurugram university', 'amity global school']"
1.05,2,2,2,0,high,85.01,carpet,mid aged,shapoorji pallonji joyville gurugram,sector 102 gurgaon,[],"['khan market', 'the esplanade mall', 'dwarka expressway', 'garhi road', 'delhi public school', 'sgt university', 'aryan hospital', 'indira gandhi int. airport', 'basai dhankot', 'the executive centre', 'inde hotels & resorts', 'appu ghar', 'dlf golf and country club']"
2.2,3,3,3,1,high,195.1,super built up,new,central park flower valley,sector-33 sohna,"['1 wardrobe', '1 fan', '1 exhaust fan', '1 geyser', '1 light', '1 modular kitchen', '1 chimney', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['airia mall', 'nh 248a', 'ne 4, haryana', 'gd goenka signature school', 'k. r. mangalam university', 'lady florence convent school sohna', 'vardaan hospital & trauma centre', 'indira gandhi international airport', 'gurgaon railway station', 'country inn & suites by radisson', 'tau devilal stadium sohna']"
1.01,2,2,2,1,mid,102.47,carpet,new,smart world gems,sector 89 gurgaon,,"['sant soordas sihi metro station', 'airia mall', 'dwarka expressway', 'pataudi road', 'nh-8', 'kmp expressway', 'rps international school', 'genesis hospital sector 84', 'gurgaon railway station', 'vatika business park sector 49', 'holiday inn gurugram sector 90', 'de adventure amusement park', 'national tennis academy sector 98', 'imt manesar']"
1.85,3,4,3,1,high,199.74,super built up,new,bestech altura,sector 79 gurgaon,"['5 ac', '1 chimney', '1 modular kitchen', 'no bed', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no light', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['sapphire 83 mall', 'nh -8', 'golf course extension road', 'mount olympus junior school', 'amity university gurugram', 'miracles apollo hospital', 'indira gandhi international airport', 'imt manesar', 'savoy suites, manesar', 'golden greens golf & resorts']"
0.86,2,3,3,0,mid,102.47,super built up,mid aged,smart world gems,sector 89 gurgaon,[],"['sant soordas sihi metro station', 'airia mall', 'dwarka expressway', 'pataudi road', 'nh-8', 'kmp expressway', 'rps international school', 'genesis hospital sector 84', 'gurgaon railway station', 'vatika business park sector 49', 'holiday inn gurugram sector 90', 'de adventure amusement park', 'national tennis academy sector 98', 'imt manesar']"
1.85,3,3,3,1,high,188.13,carpet,new,emaar imperial gardens,sector 102 gurgaon,"['5 wardrobe', '8 fan', '1 exhaust fan', '20 light', '5 ac', '1 modular kitchen', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no geyser', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['satya the hive mall', 'gurugram road', 'dwarka expy', 'gurugram global heights school', 'sunrise university', 'the signature super speciality hospital', 'indira gandhi intl airport', 'basai dhankot railway station', 'country inn & suites by radisson', 'nehru stadium']"
2.85,3,3,3,1,high,205.97,super built up,new,la vida by tata housing,sector 113 gurgaon,,"['dwarka sector 21', 'pacific d21 mall', 'bajghera road', 'dwarka expy', 'euro international school, sector- 109.', 'the northcap university', 's hospital"", ', ', ']"
,5,1,0,0,low,418.06,built up,under construction,the new people apartments,sector 1 gurgaon,,"['pooja clinic', 'dr. sahil clinic', 'prakash hospital', 'shri rade clinic', 'yadav dental & eye care', 'dental hospital', 'petrol pump maitri motors', 'petrol pump', 's"", ""mcdonald', 'rao dhaba']"
6.15,3,4,2,0,high,311.69,built up,under construction,m3m golfestate,sector 65 gurgaon,,"['sector 54 chowk metro station', 'sahara mall', 'nh 248a', 'shiksha bharti public school', 'gurugram university', 'park hospital', 'indira gandhi international airport', 'garhi harsaru junction', 'holiday inn express gurugram']"
6.25,3,5,3,1,mid,267.56,carpet,old,central park resort belgravia residences,sector 48 gurgaon,"['6 fan', '1 exhaust fan', '4 geyser', '55 light', '1 chimney', '1 modular kitchen', '10 wardrobe', 'no ac', 'no bed', 'no curtains', 'no dining table', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['decathlon sohna road', 'raheja mall', 'elements one mall', 'gd goenka public school', 'mount olympus school', 'basant valley global school', 'lotus valley school', 'park hospital (gurugram, haryana)', 'ck birla hospital', 'cdas super speciality hospital', 'orchid business park', 'candor techspace', 'jmd megapolis', 'splendor trade tower', 'doubletree by hilton']"
0.42,2,2,2,0,mid,69.68,carpet,new,apex builders,sector 37c gurgaon,,"['kamla hospital gurgaon', 'shri multispeciality hospital', 'shri balaji hospital and trauma center', 'yadav hospital gurgoan', 'chandna dental surgery orthodontic and implant centre', 'the muskan dental clinic', 'harshila dental clinic', 'dental xpert dental clinic', 'gautam hospital', 'clove dental', 'esic hospital gurugram', 'sai dental clinic', 'sunrise hospital gurgaon', 'bhanu dental care', 'nutan dental hospital', 'ankur clinic and maternity home', 'shri ram dental clinic', 'mangalam hospital and heart centre gurgaon', 'navjeevan hospital and maternity centre', 'parmar dental clinic & lab', 'ayushman hospital and trauma centre', 'shiv mahima patient care bureau', 'rachna dental clinic', 'vaishnavi nursing home', 'shri gobind hospital', 'lal superspeciality hospital', 'shree krishna hospital gurgaon', 'dr. madan clinic', 'taneja hospital', 'dev man kathuria clinic', 'boxer fuel point', 'basai dhankot railway station']"
1.35,2,2,0,0,mid,98.11,built up,under construction,godrej habitat,sector 3 gurgaon,"['1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']","['chintapurni mandir', 'sheetla mata mandir', 'state bank atm', 'sneh hospital gurgaon', 'jiya clinic', 'dr. mittal clinic', 's child care clinic"", ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ', ']"
1.6,2,2,2,0,low,55.18,carpet,new,ompee k s residency,new palam vihar,,"['palam vihar vyapar kendra', 'palam triangle', 'ram mandir', 'kalyan hospital gurgaon', 'metro hospital and heart institute gurgaon', 'dgd bamnoli', 's dental care and implant centre"", ', ', ', ', ', ', ', ', ""domino', 'moti mahal', 'pind baluchi', 's"", ', ', ', ', ']"
