,price_cr,bhk,bathroom,balcony,addl_room,floor_rise,area_sqm,area_type,age,fan,light,wardrobe,ac,bed,chimney,curtains,dining table,exhaust fan,geyser,modular kitchen,microwave,fridge,sofa,stove,tv,washing machine,water purifier,society,sector,city,landmarks
0,0.45,2,2,1,0,mid,83.61,carpet,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,maa bhagwati residency,7,gurgaon,"['chintapurni mandir', ' state bank atm', ' state bank atm', ' pearl dental clinic', ' pearl dental clinic', ' pearl dental clinic', ' taneja hospital', ' dr. madan clinic', ' geeta nursing home gurgaon', ' chiranjiv hospital', ' dev man kathuria clinic', ' aryan hospital', ' kr dental hub', ' kr dental hub', ' swastik maternity and medical centre', ' swastik maternity and medical centre', ' satyam hospital gurgaon', ' ravi clinic and health care centre', ' ravi clinic and health care centre', ' d.r. rajnis gupta clinic', ' esic hospital gurugram', ' gurgaon eye centre', ' gurgaon eye centre', ' bindal clinic', ' shree krishna hospital gurgaon', ' m.s hospital', ' my care clinic', ' ankur clinic and maternity home', ' triveni hospital gurgaon', ' shri gobind hospital', ' navjeevan hospital and maternity centre', ' navjeevan hospital and maternity centre', ' lal superspeciality hospital', ' sparsh hospital gurgaon', ' sparsh hospital gurgaon', ' prateek nursing home and polyclinic', ' prateek nursing home and polyclinic', ' jain sant phool chand ji charitable hospital', ' sarvodya hospital', ' bhatnagar maternity and nursing home', ' tirath ram hospitals pvt ltd', ' centre for sight gurgaon new railway road', ' centre for sight gurgaon new railway road', ' centre for sight gurgaon new railway road', ' dr. ajay s. gupta clinic', ' kidney clinic', ' mangalam hospital and heart centre gurgaon', ' mangalam hospital and heart centre gurgaon', ' sethi hospital gurgaon', ' shubham hospital gurgaon', ' kharbanda maternity and nursing home', ' gupta hospital gurgaon', ' dentecare - multispeciality dental clinic', ' dentecare - multispeciality dental clinic', ' dentecare - multispeciality dental clinic', ' state bank of india', ' hdfc bank', ' kotak bank', ' indian bank', ' pizza hut', ' st. michaels sr. sec. school', ' dronacharya government college']"
1,0.5,2,2,1,0,low,60.39,carpet,old,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,apna enclave,3,gurgaon,"['chintapurni mandir', ' sheetla mata mandir', ' state bank atm', ' state bank atm', ' sneh hospital gurgaon', ' jiya clinic', ' dr. mittal clinic', ' s child care clinic""']"
2,0.4,2,2,3,0,high,55.28,carpet,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,tulsiani easy in homes,33,sohna,"['huda city metro', 'huda city metro', ' golf course extn road', ' rajiv chowk', ' igi airport', ' imt sohna', ' damdama lake']"
3,1.47,2,2,2,1,low,111.48,carpet,mid aged,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,smart world orchard,61,gurgaon,"['sector 55-56 metro station', 'sector 55-56 metro station', ' bestech central square mall', ' golf course ext road', ' badshahpur sohna rd hwy', ' orchids the international school', ' orchids the international school', ' sushant university', ' marengo asia hospitals', ' indira gandhi intl airport', ' gurgaon railway station', ' gurgaon railway station', ' gurgaon railway station']"
4,0.7,2,2,3,1,mid,124.95,super built up,under construction,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,parkwood westend,92,gurgaon,"['yadav clinic', ' bangali clinic', ' dr. j. s. sarkar clinic', ' sagar clinic', ' orris community center', ' orris community center', ' vijay petrol pump', ' vijay petrol pump', ' hp petrol pump', ' hp petrol pump', ' essar petrol pump', ' essar petrol pump', ' indian oil', ' pizza hut']"
5,2.0,3,3,3,0,mid,139.35,super built up,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,the cocoon,102,gurgaon,"['shri multispeciality hospital', ' esic hospital gurugram', ' shree krishna hospital gurgaon', ' prateek nursing home and polyclinic', ' prateek nursing home and polyclinic', ' kr dental hub', ' kr dental hub', ' basai dhankot railway station', ' basai dhankot railway station', ' basai dhankot railway station']"
6,1.8,3,4,3,0,high,212.75,carpet,new,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,ats triumph,104,gurgaon,"['iffco chowk metro station', 'iffco chowk metro station', 'iffco chowk metro station', ' the esplanade mall', ' dwarka expressway', ' govt. pg college', ' delhi public school', ' the northcap university', ' shree krishna hospital', ' indira gandhi international airport', ' indira gandhi international airport', ' the executive centre', ' park inn', ' park inn', ' s water park""']"
7,1.1,2,4,3,1,low,125.42,built up,under construction,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,vatika xpressions,88,gurgaon,"['dwarka expressway', ' adarsh public school', ' excellere world school', ' aman hospital & surgical centre', ' aman hospital & surgical centre', ' garhi harsaru junction']"
8,4.75,3,3,2,1,high,261.34,built up,mid aged,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,raheja revanta,78,gurgaon,"['sapphire 83 mall', ' bal bharti public school', ' kiit college of engineering', ' indira gandhi international airport', ' indira gandhi international airport', ' imt manesar', ' de adventure park', ' manesar golf course']"
9,0.96,2,2,2,0,low,99.87,carpet,mid aged,6,10,4,6,0,1,0,0,1,5,1,1,1,0,1,0,1,0,signature global city 81,81,gurgaon,"['ambience mall new', ' dwarka expressway', ' s high school""']"
