,sector,society
0,sector 1,deepak minda
1,sector 1,sonata group housing society sector 1 manesar
2,sector 1,sonata group housing gh 24
3,sector 1,hsiidc sidco aravali
4,sector 1,samadhan shri kamal cghs
5,sector 1,sbr minda sec 1 imt manesar
6,sector 1,sbr minda sec-1 imt manesar
7,sector 1,prasha apartments
8,sector 1,green campus chs
9,sector 1,denso haryana housing society
10,sector 1,the nav manesar apartment
11,sector 1,professional society
12,sector 1,hsiidc sidco shivalik apartments
13,sector 1,imt view society
14,sector 1,the crew bos chs manesar
15,sector 1,nagata group housing society
16,sector 1,dlf express greens
17,sector 1,dnha group housing society
18,sector 1,eden landmark
19,sector 1,dnha cghs
20,sector 1,sbr apartment
21,sector 1,aditya apartment
22,sector 10,maxworth city residences
23,sector 10,karmyogi apartment
24,sector 10,floor type society
25,sector 10,sanskriti apartment
26,sector 102,the cocoon
27,sector 102,shapoorji pallonji joyville gurugram
28,sector 102,emaar imperial gardens
29,sector 102,ramprastha city
30,sector 102,emaar gurgaon greens
31,sector 102,adani m2k oyster grande
32,sector 102,hero homes
33,sector 102,conscient heritage max
34,sector 102,suncity avenue 102
35,sector 102,bptp amstoria
36,sector 102,adani oyster greens
37,sector 102,rof aalayas
38,sector 102,ansals highland park
39,sector 102,smart world one
40,sector 103,satya the hermitage
41,sector 103,ansal housing highland park
42,sector 103,landmark the residency
43,sector 103,indiabulls centrum park
44,sector 103,signature global grand iva
45,sector 103,chintamani
46,sector 103,on request
47,sector 103,ansal estella
48,sector 103,spire woods now ananda by alpha corp
49,sector 104,ats triumph
50,sector 104,godrej summit premia towers
51,sector 104,hero homes
52,sector 104,zara aavaas
53,sector 104,puri emerald bay
54,sector 104,godrej summit
55,sector 104,dlf city
56,sector 105,saroop garden
57,sector 105,uphaar homes
58,sector 105,uphaar residency 2
59,sector 105,uphar lakshya homes
60,sector 106,godrej meridien
61,sector 106,paras dews
62,sector 106,elan the presidential
63,sector 106,viridian the plaza 106
64,sector 106,mrg skyline
