area_sqm,bedroom,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city,price_cr
55.46,2.0,2.0,1.0,0.0,sector 102,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,rof aalayas,gurgaon,0.5850000000000001
418.06,4.0,4.0,3.0,1.0,sector 2,28.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,carpet,low,new,palam vihar society,gurgaon,4.355
184.88,3.0,3.0,3.0,0.0,sector 37,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,built up,high,under construction,ramprastha the edge towers,gurgaon,1.4300000000000002
229.19,4.0,4.0,3.0,0.0,sector 1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,super built up,mid,old,hsiidc sidco aravali,manesar,1.1700000000000002
236.44,3.0,3.0,3.0,1.0,sector 109,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,old,sbtl caladium,gurgaon,2.184
116.13,2.0,2.0,2.0,0.0,sector 61,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,low,new,smart world orchard,gurgaon,2.405
191.47,3.0,3.0,3.0,1.0,sector 49,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,super built up,high,new,orchid petals,gurgaon,3.1850000000000005
64.1,2.0,2.0,1.0,0.0,sector 90,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,carpet,high,new,green court,gurgaon,0.611
83.61204013377927,2.0,2.0,3.0,1.0,sector 79,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,carpet,high,new,godrej 101,gurgaon,1.911
121.15,2.0,2.0,3.0,0.0,sector 70,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,aipl zen residences,gurgaon,1.7420000000000002
101.73,2.0,2.0,2.0,1.0,sector 70,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,mid aged,unitech vistas,gurgaon,0.6890000000000001
142.61,3.0,3.0,3.0,1.0,sector 37,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,built up,low,new,signature global city 37d ph 2,gurgaon,1.7680000000000002
176.52,3.0,4.0,3.0,1.0,sector 83,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,new,emaar palm gardens,gurgaon,2.3400000000000003
125.42,3.0,3.0,3.0,0.0,sector 63,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,carpet,low,under construction,birla navya,gurgaon,4.55
179.21,3.0,3.0,1.0,0.0,sector 86,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,dlf the skycourt,gurgaon,1.95
144.0,2.0,2.0,2.0,0.0,sector 104,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,puri emerald bay,gurgaon,1.7160000000000002
102.47,3.0,2.0,3.0,1.0,sector 89,14.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,low,new,smart world gems,gurgaon,1.508
185.81,3.0,3.0,3.0,1.0,sector 66,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,super built up,mid,new,emaar mgf the palm drive,gurgaon,3.887000000000001
167.23,3.0,3.0,3.0,0.0,sector 37,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,ramprastha primera,gurgaon,1.404
35.3,1.0,1.0,1.0,0.0,sector 95,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,super built up,mid,new,rof ananda,gurgaon,0.325
146.6,3.0,3.0,2.0,1.0,sector 69,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,tulip violet,gurgaon,1.82
168.62,3.0,4.0,3.0,1.0,sector 37,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,imperia the esfera,gurgaon,1.287
181.16,3.0,4.0,3.0,1.0,sector 90,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,new,shree vardhman flora,gurgaon,1.1700000000000002
46.54,2.0,2.0,1.0,1.0,sector 86,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,mid,new,pyramid urban homes 2,gurgaon,0.546
273.13,3.0,4.0,3.0,1.0,sector 53,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,super built up,high,new,tulip monsella,gurgaon,10.725
70.61,2.0,2.0,1.0,0.0,sector 76,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,high,mid aged,pyramid pride,gurgaon,0.65
168.62,3.0,4.0,3.0,1.0,sector 79,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,mapsko mount ville,gurgaon,2.015
183.48,4.0,4.0,0.0,1.0,sector 65,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,carpet,mid,new,emaar mgf emerald floors premier,gurgaon,3.77
83.61204013377927,2.0,2.0,3.0,0.0,sector 79,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,super built up,high,new,godrej aria,gurgaon,1.4300000000000002
134.71,3.0,4.0,3.0,1.0,sector 77,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,low,new,emaar mgf palm hills,gurgaon,1.625
394.84,4.0,4.0,3.0,1.0,sector 72,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,super built up,high,new,tata primanti,gurgaon,8.450000000000001
185.81,3.0,3.0,3.0,1.0,sector 56,44.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,super built up,mid,old,kiran residency,gurgaon,2.015
121.15,2.0,2.0,3.0,1.0,sector 37,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,under construction,proxima tower,gurgaon,0.78
301.56,3.0,3.0,3.0,1.0,sector 65,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,super built up,low,new,m3m golfestate,gurgaon,6.5
92.62,2.0,2.0,2.0,0.0,sector 47,45.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,carpet,low,new,unitech uniworld gardens 2,gurgaon,1.3650000000000002
106.84,2.0,2.0,2.0,0.0,sector 28,45.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,carpet,high,new,dlf regency park 1,gurgaon,2.483
128.67,2.0,2.0,3.0,0.0,sector 33,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carpet,high,under construction,godrej nature plus,sohna,1.625
78.53,2.0,2.0,3.0,0.0,sector 33,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,super built up,mid,new,signature global park,sohna,0.7020000000000001
292.64,4.0,4.0,3.0,1.0,sector 104,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,super built up,high,new,ats triumph,gurgaon,3.406
54.53,2.0,2.0,1.0,0.0,sector 33,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built up,high,new,mvn athens,sohna,0.325
