iter	RMSE
0	2.369284163
1	2.309505363
2	2.251380567
3	2.191401885
4	2.14012075
5	2.092969261
6	2.048242328
7	2.005876024
8	1.96636777
9	1.925021981
10	1.889639083
11	1.847248486
12	1.807903622
13	1.770197401
14	1.731118371
15	1.697600527
16	1.661909132
17	1.63216809
18	1.599344178
19	1.568706011
20	1.543511987
21	1.519626335
22	1.497763638
23	1.474409013
24	1.455833985
25	1.434538334
26	1.417146212
27	1.399927514
28	1.377642751
29	1.36247265
30	1.345785132
31	1.330875134
32	1.314846331
33	1.302554774
34	1.29280503
35	1.275475084
36	1.263316454
37	1.249680889
38	1.239171843
39	1.227206453
40	1.215487774
41	1.204669022
42	1.192449596
43	1.183798108
44	1.172157832
45	1.163434192
46	1.15081391
47	1.141942713
48	1.131052301
49	1.121848783
50	1.110130069
51	1.101873543
52	1.0939113
53	1.085193352
54	1.079213041
55	1.073196941
56	1.06556115
57	1.058323107
58	1.053788439
59	1.046636501
60	1.039142988
61	1.032432597
62	1.028118709
63	1.02274442
64	1.016463524
65	1.009814907
66	1.007640733
67	1.000127189
68	0.9948363763
69	0.9899460726
70	0.9844888759
71	0.9786653644
72	0.9742766
73	0.9691615167
74	0.9625836126
75	0.9558551892
76	0.9514890997
77	0.9485674019
78	0.9444299076
79	0.9387521817
80	0.932877412
81	0.929504866
82	0.9243632533
83	0.9199344859
84	0.9151169989
85	0.9081988385
86	0.9051347661
87	0.9010600362
88	0.8973239309
89	0.894112248
90	0.8906681622
91	0.8857581336
92	0.8827573027
93	0.879186037
94	0.8762044628
95	0.873940994
96	0.8720767073
97	0.8682614778
98	0.8661524268
99	0.8634158117
100	0.8600324371
101	0.8566788023
102	0.8541462686
103	0.851629914
104	0.8493279831
105	0.8469107016
106	0.8450626971
107	0.8426940079
108	0.8386379969
109	0.8367881352
110	0.8333462629
111	0.8299653052
112	0.8283366794
113	0.8255863035
114	0.8235170453
115	0.8208762116
116	0.8155587261
117	0.8121898685
118	0.8100781962
119	0.8082356939
120	0.8050300864
121	0.8026356383
122	0.8007206932
123	0.7980497805
124	0.7941533548
125	0.7898404669
126	0.7881016322
127	0.7821718778
128	0.7792178928
129	0.7761282098
130	0.7740688036
131	0.7723639319
132	0.7693447448
133	0.7677612228
134	0.7666657255
135	0.7636485814
136	0.7624863279
137	0.7606693931
138	0.7578684491
139	0.7562828553
140	0.7546390962
141	0.7527657629
142	0.7491730204
143	0.7478208504
144	0.7461155876
145	0.7440789474
146	0.7427215839
147	0.7404522787
148	0.7369921805
149	0.7321376312
150	0.7303549079
151	0.7267038153
152	0.7249863641
153	0.72285301
154	0.7207161488
155	0.7180864503
156	0.7159093442
157	0.7136042451
158	0.7098905841
159	0.7067358143
160	0.7046655238
161	0.7036610214
162	0.7007897276
163	0.6992783614
164	0.6981627644
165	0.6964731965
166	0.6948413649
167	0.693195012
168	0.6903931343
169	0.6888391761
170	0.6872579522
171	0.6854924735
172	0.6840906418
173	0.6823604569
174	0.6805746246
175	0.6780274321
176	0.6764345263
177	0.6739748914
178	0.6726554503
179	0.6706556096
180	0.6687739484
181	0.6665869033
182	0.6645970815
183	0.6621660374
184	0.6603683676
185	0.6587037159
186	0.6570497828
187	0.6559829267
188	0.6539274273
189	0.6526604446
190	0.6516055268
191	0.6503677822
192	0.6495289795
193	0.6485184007
194	0.6474234856
195	0.6457924053
196	0.6439961783
197	0.6423718585
198	0.6405277822
199	0.6395134453
200	0.6377080746
201	0.6369095194
202	0.6361414072
203	0.6341329516
204	0.6332027687
205	0.6315135074
206	0.629377828
207	0.6274780788
208	0.6252067461
209	0.6227192333
210	0.621908386
211	0.6207179151
212	0.6186037846
213	0.6169886537
214	0.6149082107
215	0.6134632337
216	0.6123845426
217	0.610532109
218	0.6098780498
219	0.6083551409
220	0.606591881
221	0.6049203391
222	0.6032993162
223	0.6021444777
224	0.6006541101
225	0.5997444473
226	0.598269412
227	0.5970971756
228	0.5960586338
229	0.5950243452
230	0.5936302023
231	0.5928504299
232	0.5915423672
233	0.5909195742
234	0.5899768399
235	0.5887274702
236	0.5873075328
237	0.5850984754
238	0.583659081
239	0.5820206335
240	0.5808949551
241	0.5796136856
242	0.5781053913
243	0.5753633645
244	0.5738465363
245	0.5720136711
246	0.5709992203
247	0.5707397215
248	0.5696830468
249	0.5688668518
250	0.5675362225
251	0.5667542435
252	0.5658587224
253	0.5648715602
254	0.5641491814
255	0.5634207802
256	0.5623319575
257	0.5614818697
258	0.5600043544
259	0.5588878202
260	0.5581379527
261	0.556590857
262	0.5555079588
263	0.5544067835
264	0.5529243149
265	0.5522396857
266	0.5511311028
267	0.5497389858
268	0.5492029687
269	0.5483319847
270	0.5470705199
271	0.5463529659
272	0.5454679396
273	0.5442445046
274	0.5430593444
275	0.5421626133
276	0.5412944037
277	0.5404700374
278	0.5395673179
279	0.5390820093
280	0.5377190945
281	0.5371705315
282	0.5358440232
283	0.5353711152
284	0.5349489077
285	0.534164018
286	0.5331375697
287	0.532192329
288	0.5315598129
289	0.5308904499
290	0.5297648711
291	0.5286016322
292	0.5274868309
293	0.5263226024
294	0.5258914983
295	0.5248589134
296	0.524120168
297	0.5233707851
298	0.5225893476
299	0.5213852051
300	0.520125279
301	0.5196549415
302	0.5183487816
303	0.5174399885
304	0.5160690972
305	0.5154446824
306	0.5144639538
307	0.5136222751
308	0.512579853
309	0.5115746987
310	0.5109727993
311	0.5098897336
312	0.5094024807
313	0.5083986993
314	0.5076674904
315	0.5063703972
316	0.5055743997
317	0.5043250292
