iter	Passed	Remaining
0	159	159152
1	162	80881
2	165	54981
3	169	42159
4	172	34286
5	175	29014
6	178	25323
7	181	22491
8	182	20093
9	184	18293
10	186	16804
11	188	15513
12	190	14454
13	192	13535
14	193	12716
15	195	12001
16	196	11357
17	197	10789
18	199	10275
19	200	9816
20	201	9401
21	202	9019
22	204	8672
23	205	8357
24	206	8071
25	208	7792
26	209	7542
27	210	7311
28	211	7091
29	213	6893
30	214	6706
31	215	6519
32	216	6351
33	218	6194
34	219	6046
35	220	5907
36	221	5774
37	223	5656
38	224	5539
39	226	5428
40	227	5319
41	228	5209
42	229	5115
43	231	5026
44	232	4939
45	234	4853
46	235	4770
47	236	4691
48	237	4615
49	239	4548
50	240	4484
51	242	4417
52	243	4357
53	245	4295
54	246	4233
55	247	4167
56	248	4110
57	249	4056
58	251	4005
59	252	3954
60	253	3907
61	254	3852
62	255	3806
63	257	3764
64	258	3721
65	260	3683
66	261	3647
67	263	3612
68	264	3574
69	266	3538
70	267	3503
71	269	3468
72	270	3435
73	271	3402
74	273	3371
75	274	3342
76	276	3314
77	277	3284
78	279	3253
79	280	3223
80	281	3194
81	282	3165
82	284	3137
83	285	3110
84	286	3086
85	288	3061
86	289	3036
87	290	3012
88	291	2988
89	293	2965
90	294	2943
91	295	2917
92	296	2895
93	298	2873
94	299	2853
95	300	2832
96	302	2812
97	303	2793
98	304	2773
99	306	2754
100	307	2735
101	308	2714
102	309	2698
103	311	2681
104	312	2664
105	313	2647
106	315	2629
107	316	2612
108	317	2596
109	318	2580
110	320	2565
111	321	2550
112	322	2534
113	323	2517
114	325	2503
115	326	2489
116	327	2474
117	329	2460
118	330	2446
119	331	2432
120	332	2418
121	333	2403
122	335	2391
123	336	2380
124	338	2370
125	340	2359
126	341	2349
127	343	2337
128	344	2325
129	345	2313
130	347	2301
131	348	2289
132	349	2278
133	350	2267
134	352	2256
135	353	2245
136	354	2234
137	355	2223
138	357	2213
139	358	2202
140	359	2190
141	360	2180
142	362	2170
143	363	2160
