price_cr,area_sqm,bhk,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city
0.45,83.61,2,2,1,0,7,50,34,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,1,carpet,mid,new,maa bhagwati residency,gurgaon
0.5,60.39,2,2,1,0,3,48,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,carpet,low,old,apna enclave,gurgaon
0.4,55.28,2,2,3,0,33,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,carpet,high,new,tulsiani easy in homes,sohna
1.47,111.48,2,2,2,1,61,9,1,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,carpet,low,mid aged,smart world orchard,gurgaon
0.7,124.95,2,2,3,1,92,11,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,super built up,mid,under construction,parkwood westend,gurgaon
2.0,139.35,3,3,3,0,102,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,super built up,mid,new,the cocoon,gurgaon
1.8,212.75,3,4,3,0,104,13,1,0,0,1,0,2,0,3,1,0,1,1,0,1,0,1,0,0,0,carpet,high,new,ats triumph,gurgaon
1.1,125.42,2,4,3,1,88,7,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,built up,low,under construction,vatika xpressions,gurgaon
4.75,261.34,3,3,2,1,78,10,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,built up,high,mid aged,raheja revanta,gurgaon
0.96,99.87,2,2,2,0,81,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,carpet,low,mid aged,signature global city 81,gurgaon
0.29,48.22,2,2,1,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,carpet,mid,new,hcbs sports ville,sohna
1.35,180.7,3,3,3,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,carpet,mid,new,supertech araville,gurgaon
0.7,120.77,2,2,3,1,90,10,1,0,0,1,0,1,0,3,1,0,0,1,0,1,0,0,0,0,0,super built up,high,new,shree vardhman flora,gurgaon
3.95,217.67,4,5,3,0,108,13,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,built up,high,under construction,sobha city,gurgaon
0.9,59.37,1,1,0,0,62,43,12,0,0,0,2,2,8,2,0,0,0,0,0,0,2,0,1,0,1,built up,low,under construction,senate court,gurgaon
1.05,85.01,2,2,2,0,102,13,1,0,0,1,1,0,0,2,1,0,0,1,0,1,0,0,1,0,0,carpet,high,mid aged,shapoorji pallonji joyville gurugram,gurgaon
2.2,195.1,3,3,3,1,33,11,1,0,0,1,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,super built up,high,new,central park flower valley,sohna
1.01,102.47,2,2,2,1,89,14,1,0,0,1,0,2,0,2,0,1,1,2,0,1,0,0,0,0,0,carpet,mid,new,smart world gems,gurgaon
1.85,199.74,3,4,3,1,79,10,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,super built up,high,new,bestech altura,gurgaon
0.86,102.47,2,3,3,0,89,14,1,0,0,1,0,2,0,2,0,1,1,2,0,1,0,0,0,0,0,super built up,mid,mid aged,smart world gems,gurgaon
1.85,188.13,3,3,3,1,102,10,1,0,0,1,0,0,0,2,1,1,0,1,0,1,0,0,0,1,0,carpet,high,new,emaar imperial gardens,gurgaon
2.85,205.97,3,3,3,1,113,8,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,super built up,high,new,la vida by tata housing,gurgaon
,418.06,5,1,0,0,1,10,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,built up,low,under construction,the new people apartments,gurgaon
6.15,311.69,3,4,2,0,65,9,1,0,0,1,0,1,0,2,1,0,1,0,0,1,0,1,0,0,0,built up,high,under construction,m3m golfestate,gurgaon
6.25,267.56,3,5,3,1,48,15,3,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,carpet,mid,old,central park resort belgravia residences,gurgaon
0.42,69.68,2,2,2,0,37,32,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,carpet,mid,new,apex builders,gurgaon
1.35,98.11,2,2,0,0,3,48,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,built up,mid,under construction,godrej habitat,gurgaon
1.6,55.18,2,2,2,0,110,16,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,carpet,low,new,ompee k s residency,gurgaon
3.25,297.29,4,4,3,1,43,44,5,0,0,0,1,0,10,1,0,0,2,0,1,0,2,0,0,0,1,super built up,high,old,bhawna cghs,gurgaon
0.45,58.11,2,2,1,0,88,6,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,carpet,high,new,adani aangan arcade,gurgaon
0.85,120.77,3,2,2,0,92,49,5,0,0,0,1,1,8,3,0,0,2,0,0,0,0,1,0,0,6,built up,high,under construction,sare green parc,gurgaon
